CustomerID,Recency,Frequency,Monetary,Cluster,DBSCAN_Cluster
1000,8,11,1651450.0,1,0
1001,3,6,747429.0,1,0
1002,20,4,36524.0,0,0
1003,7,8,1698123.75,1,0
1004,5,9,641257.628076,1,0
1005,7,4,112900.0,0,0
1006,12,7,254688.4,1,0
1007,14,7,1060156.0,1,0
1008,4,8,20079858.7,2,-1
1009,10,5,77789.09,0,0
1010,24,5,3086640.0,0,0
1011,11,11,2521729.5,1,0
1012,5,6,270470.0,1,0
1013,3,10,1063116.0,1,0
1014,4,8,1422737.5,1,0
1015,11,3,5416008.0,0,0
1016,7,7,3121754.0,1,0
1017,7,3,21090.0,0,0
1018,12,4,87330.0,0,0
1019,7,7,1308415.0,1,0
1020,1,4,438435.0,1,0
1021,1,6,1928030.25,1,0
1022,10,5,5663393.03,0,0
1023,54,2,43050.0,0,-1
1024,12,9,272407.0,1,0
1025,7,6,5622050.0,1,0
1026,6,5,5562805.0,1,0
1027,5,6,4895770.0,1,0
1028,5,8,5218342.5,1,0
1029,18,1,8508.0,0,0
1030,21,2,59988.0,0,0
1031,27,2,142650.0,0,0
1032,5,4,873745.0,0,0
1033,15,6,521258.0,0,0
1034,3,8,527597.5,1,0
1035,5,6,1098524.0,1,0
1036,6,6,1529823.0,1,0
1037,6,6,422412.25,1,0
1038,6,14,3380417.16188,1,-1
1039,21,7,289846.0,0,0
1040,4,7,614260.0,1,0
1041,5,7,4310200.0,1,0
1042,11,2,13475.0,0,0
1043,4,6,76090104.0,2,-1
1044,5,3,1764602.5,0,0
1045,7,7,86064.0,1,0
1046,8,8,3111862.5,1,0
1047,5,3,50140.0,0,0
1048,2,4,13162834.0,2,-1
1049,3,3,8693.0,0,0
1050,2,8,2203333.0,1,0
1051,5,4,54250.0,0,0
1052,3,9,1266032.5,1,0
1053,3,9,353677.5,1,0
1054,3,6,805330.0,1,0
1055,20,3,290065.0,0,0
1056,12,2,113665.0,0,0
1057,7,8,14466788.0,2,-1
1058,2,8,3511820.75,1,0
1059,6,5,4330259.0,1,0
1060,20,5,504690.0,0,0
1061,5,7,173060.0,1,0
1062,4,10,159739.25,1,0
1063,29,3,101005.0,0,0
1064,4,5,113761.15,1,0
1065,5,4,709400.0,0,0
1066,21,3,61290.0,0,0
1067,6,3,2307100.0,0,0
1068,8,8,462883.13,1,0
1069,13,2,127250.0,0,0
1071,1,6,1040250.0,1,0
1072,20,6,12695468.75,2,-1
1073,12,2,8195.0,0,0
1074,6,7,951110.6075,1,0
1075,9,8,179827.0,1,0
1076,43,3,341708.0,0,-1
1077,15,6,160902.0,0,0
1078,48,2,146825.0,0,-1
1079,13,4,237910.0,0,0
1080,3,7,229460.0,1,0
1081,14,6,2847952.0,0,0
1082,15,2,76200.0,0,0
1083,12,8,1008792.0,1,0
1084,15,2,346300.0,0,0
1085,5,7,6124050.0,1,0
1086,27,4,657993.03,0,0
1087,1,3,20241500.0,2,-1
1088,3,8,423808.0,1,0
1089,11,8,9237210.0,1,-1
1090,13,1,45850.0,0,0
1091,3,9,1557261.0,1,0
1092,11,6,1181141.0,1,0
1093,10,3,3423300.1,0,0
1094,7,8,3645439.5,1,0
1095,5,8,1724176.06,1,0
1096,5,4,481203.0,0,0
1097,5,9,5511382.0,1,0
1098,5,11,113509.673,1,0
1099,1,5,92850.0,1,0
1100,5,8,366259.53,1,0
1101,32,4,95840.0,0,0
1102,1,6,13814840.0,2,-1
1103,6,8,2621157.25,1,0
1104,11,4,186846.7,0,0
1105,3,5,3397705.0,1,0
1106,1,4,163023.0,1,0
1107,5,6,607978.0,1,0
1108,12,3,87650.0,0,0
1109,25,1,5000.0,0,0
1110,19,10,452281.5,1,-1
1111,6,5,1198395.157376,1,0
1112,5,10,1024145.0,1,0
1113,7,5,736455.0,1,0
1114,11,4,52127.0,0,0
1115,5,4,693383.65,0,0
1116,8,7,6264617.0,1,0
1117,8,7,198790.5,1,0
1118,14,6,532268.0,0,0
1119,6,7,1794709.1225,1,0
1120,5,3,146960.0,0,0
1121,1,9,2317987.75,1,0
1122,5,4,141449.0,0,0
1123,6,3,612070.0,0,0
1124,7,3,49881.0,0,0
1125,5,8,1122715.0,1,0
1126,7,5,1110702.0,1,0
1127,5,7,5023085.0,1,0
1128,4,6,12506250.239374999,2,-1
1129,5,8,265810.75,1,0
1130,1,9,193273.1225,1,0
1131,13,4,422350.0,0,0
1132,12,8,868117.4,1,0
1133,5,7,621692.0,1,0
1134,3,3,75340.0,0,0
1135,4,5,3634510.0,1,0
1136,5,6,107400.0,1,0
1137,19,2,54890.0,0,0
1138,4,2,11561.26,0,0
1139,6,3,855987.5,0,0
1140,12,5,3417135.0,0,0
1141,7,4,3092652.0,0,0
1142,5,8,17066535.0,2,-1
1143,5,8,1177168.0,1,0
1144,8,10,6346957.0,1,0
1145,12,5,2752695.0,0,0
1146,6,11,5742715.03,1,-1
1147,6,8,13777676.509226,2,-1
1148,13,4,339531.0,0,0
1149,1,5,510703.0,1,0
1150,6,7,178705.173,1,0
1151,1,10,184679.0,1,0
1152,6,7,116038.0,1,0
1153,9,8,1932324.0,1,0
1154,7,4,187980.0,0,0
1155,14,3,1039766.0,0,0
1156,4,7,296535.0,1,0
1157,6,7,11724555.63,2,-1
1158,22,4,215746.5,0,0
1159,5,10,597949.1225,1,0
1160,1,11,1901494.75,1,0
1161,4,4,1089248.0,0,0
1162,4,7,4880464.0,1,0
1163,11,6,4251952.5,1,0
1164,5,7,409375.0,1,0
1165,18,5,564549.0,0,0
1166,3,2,142900.0,0,0
1167,11,5,491394.75,0,0
1168,6,3,57826.0,0,0
1169,2,9,1190933.0,1,0
1170,5,4,2329040.0,0,0
1171,5,6,81788.0,1,0
1172,7,9,694457.0,1,0
1173,7,4,683468.03,0,0
1174,2,6,2101627.0,1,0
1175,6,6,100115.0,1,0
1176,11,9,582238.25,1,0
1177,11,7,1881737.5,1,0
1178,5,7,2510848.25,1,0
1179,5,6,943578.25,1,0
1180,7,6,2256314.5,1,0
1181,13,4,240600.0,0,0
1182,12,4,144282.5,0,0
1183,5,5,597515.0,1,0
1184,10,3,400607.0,0,0
1185,7,5,3838323.0,1,0
1186,5,7,516662.0,1,0
1187,2,8,6512110.0,1,0
1188,1,3,420155.5,0,0
1189,2,7,2881826.25,1,0
1190,4,4,297750.0,0,0
1191,1,10,14325407.0,2,-1
1192,29,4,43992.0,0,0
1193,6,5,5728390.0,1,0
1194,6,7,3088394.0,1,0
1195,8,4,35185.0,0,0
1196,14,3,3578500.0,0,0
1197,5,9,658112.89,1,0
1198,6,5,47227.718125,1,0
1199,24,2,223000.0,0,0
1200,5,6,936889.9,1,0
1201,4,8,9912050.0,1,-1
1202,5,3,2390900.0,0,0
1203,10,4,546462.0,0,0
1204,15,3,320200.0,0,0
1205,3,5,127107.0,1,0
1206,5,5,131062.5,1,0
1207,4,5,115527.1225,1,0
1208,28,3,47950.0,0,0
1209,24,4,6139455.0,0,-1
1210,27,2,55100.0,0,0
1211,14,3,178705.0,0,0
1212,4,5,1329524.0,1,0
1213,5,6,1008301.0,1,0
1214,1,11,1573890.0,1,0
1215,5,7,125254.25,1,0
1216,4,9,955186.78,1,0
1217,4,8,183820.25,1,0
1218,28,2,14184.0,0,0
1219,5,9,1260870.0,1,0
1220,12,2,64982.0,0,0
1221,5,7,1178716.0,1,0
1222,7,10,3556071.0,1,0
1223,5,9,4650219.0,1,0
1224,5,7,221944.0,1,0
1225,7,9,2529752.0,1,0
1226,5,11,2936621.5,1,0
1227,14,5,317410.0,0,0
1228,8,9,1297861.0,1,0
1229,6,2,20498.75,0,0
1230,4,8,190505.0,1,0
1231,31,2,416819.0,0,0
1232,5,11,567383.0,1,0
1233,5,3,940338.0,0,0
1234,12,4,456197.5,0,0
1235,2,8,243196.5,1,0
1236,4,8,2261723.75,1,0
1237,6,4,91550.0,0,0
1238,8,8,119767.5,1,0
1239,5,4,530511.25,0,0
1240,5,3,45831.0,0,0
1241,3,7,1578512.5,1,0
1242,5,7,459951.0,1,0
1243,3,3,440050.0,0,0
1244,36,3,5208750.0,0,-1
1245,7,5,469300.0,1,0
1246,5,8,3172810.0,1,0
1248,11,6,539883.5,1,0
1249,10,6,130513.0,1,0
1250,14,9,558876.5,1,0
1251,4,7,948114.6737500001,1,0
1252,2,6,135346.75,1,0
1253,6,5,381384.814038,1,0
1254,5,4,1754617.5,0,0
1255,7,3,2715280.0,0,0
1256,5,8,1097793.75,1,0
1257,1,3,17833.0,0,0
1258,5,7,2710783.07375,1,0
1259,3,3,400917.5,0,0
1260,4,7,6390775.0,1,0
1261,8,7,3541673.5,1,0
1262,6,2,261271.6,0,0
1263,3,12,1614790.0,1,0
1264,3,3,47035.0,0,0
1265,27,4,6971236.0,0,-1
1266,6,7,1359291.3825,1,0
1267,5,8,246414.15,1,0
1268,8,5,3383603.0,1,0
1269,4,5,10672712.0,1,-1
1270,1,6,11857241.0,2,-1
1271,8,3,5025258.0,0,0
1272,7,7,175596.0,1,0
1273,3,5,935073.0,1,0
1274,8,4,178301.0,0,0
1275,63,2,51710.0,0,-1
1276,1,7,121602.0,1,0
1277,8,3,408420.0,0,0
1278,8,3,956000.0,0,0
1279,4,7,2935685.0,1,0
1280,7,4,2905080.0,0,0
1281,14,8,396113.0,1,0
1282,5,6,340770.0,1,0
1283,5,6,246578.0,1,0
1284,10,11,8615826.030000001,1,-1
1285,5,7,481345.63,1,0
1286,25,4,83601.0,0,0
1287,7,10,620479.0,1,0
1288,4,12,480879.5,1,0
1289,8,3,116325.0,0,0
1290,22,4,406700.0,0,0
1291,13,4,1013777.0,0,0
1292,5,11,6151398.75,1,-1
1293,1,7,4864108.0,1,0
1294,5,6,1356955.0,1,0
1295,4,6,2211021.0,1,0
1296,25,2,535000.0,0,0
1297,6,2,54806.0,0,0
1298,7,3,74040.0,0,0
1299,21,3,74292.0,0,0
1300,4,9,364790.0,1,0
1301,7,8,10634298.5,1,-1
1302,13,11,4451055.0,1,-1
1303,4,7,478991.7,1,0
1304,7,10,22844065.25,2,-1
1305,7,5,1066370.0,1,0
1306,3,4,65295.0,1,0
1307,6,4,20363.009226000002,0,0
1308,1,6,1024456.0,1,0
1309,3,7,256640.5,1,0
1310,8,7,1053615.0,1,0
1311,13,6,265010.0,0,0
1312,7,8,916050.75,1,0
1313,1,5,316210.0,1,0
1314,5,4,13894400.0,2,-1
1315,3,9,2540496.0,1,0
1316,7,5,1064100.0,1,0
1317,5,12,1260999.68,1,0
1318,8,8,2177560.5,1,0
1319,3,7,2343000.0,1,0
1320,7,4,534250.0,0,0
1321,7,3,176650.0,0,0
1322,7,6,152255.0,1,0
1323,5,7,387009.0,1,0
1324,5,5,220550.0,1,0
1325,6,7,1065929.0,1,0
1326,4,4,273377.0,0,0
1327,5,9,682000.0,1,0
1328,3,3,69340.0,0,0
1329,11,8,2146605.75,1,0
1330,1,5,138409.38,1,0
1331,23,4,283624.0,0,0
1332,21,2,9695.0,0,0
1333,22,3,67010.0,0,0
1334,18,7,2247317.25,1,-1
1335,11,4,1417001.0,0,0
1336,11,5,42074.0,0,0
1337,4,6,79367.3825,1,0
1338,12,5,1536610.0,0,0
1339,3,8,1510963.0,1,0
1340,10,5,987290.0,0,0
1341,7,9,1232435.0,1,0
1342,5,1,80400.0,0,0
1343,1,8,1473731.25,1,0
1344,2,5,6489237.75,1,0
1345,3,9,966974.669138,1,0
1346,18,3,122198.0,0,0
1347,5,5,3963806.25,1,0
1348,1,11,273817.20625,1,0
1349,8,6,225795.0,1,0
1350,4,2,58200.0,0,0
1351,5,6,97240.0,1,0
1352,22,5,569351.0,0,0
1353,7,5,626659.95,1,0
1354,7,6,1238174.0,1,0
1355,21,6,1125461.0,0,0
1356,10,5,2503776.0,0,0
1357,14,3,108729.0,0,0
1358,5,7,3328759.442114,1,0
1359,1,10,3452000.019,1,0
1360,12,7,626606.0,1,0
1361,28,2,10095.0,0,0
1362,20,5,61446.5,0,0
1363,2,6,123540.0,1,0
1364,6,11,737580.0,1,0
1365,6,5,174322.0,1,0
1366,3,6,180046.0,1,0
1367,12,1,17900.0,0,0
1368,6,8,268653.65,1,0
1369,8,5,601570.0,1,0
1370,6,11,2948081.5,1,0
1371,5,4,347975.0,0,0
1372,1,8,19358695.0,2,-1
1373,5,8,770203.0,1,0
1374,6,5,625140.0,1,0
1375,11,6,259905.0,1,0
1376,5,5,276545.0,1,0
1377,25,4,1933207.5,0,0
1378,4,8,5022837.5,1,0
1379,4,8,609513.25,1,0
1380,27,5,304618.0,0,0
1381,21,5,76182.0,0,0
1382,13,3,124150.0,0,0
1383,6,5,20684030.0,2,-1
1384,5,7,205945.346,1,0
1385,1,10,6486950.15,1,-1
1386,5,6,183292.0,1,0
1387,3,7,1262710.0,1,0
1388,15,3,14130785.0,2,-1
1389,3,6,533718.5,1,0
1390,7,7,122704.0,1,0
1391,4,5,71658.0,1,0
1392,5,6,1331360.0,1,0
1393,11,6,202079.0,1,0
1394,5,5,15108613.5,2,-1
1395,8,6,2350800.0,1,0
1396,11,8,1036499.0,1,0
1397,5,6,2685954.38,1,0
1398,22,4,39125.0,0,0
1399,7,4,622220.0,0,0
1400,5,9,27494335.0,2,-1
1401,4,7,1790826.0,1,0
1402,5,6,1320904.07375,1,0
1403,6,7,785416.31125,1,0
1404,14,4,72991.0,0,0
1405,22,4,1672758.0,0,0
1406,5,9,527985.0,1,0
1407,6,6,4220850.4,1,0
1408,7,6,7368770.0,1,0
1409,4,7,348916.25,1,0
1410,5,6,254054.0,1,0
1411,46,2,1507875.0,0,-1
1412,11,3,50592.75,0,0
1413,1,6,2898437.5,1,0
1414,6,4,4292420.0,0,0
1415,5,6,911067.0,1,0
1416,6,9,5917539.018999999,1,0
1417,5,6,193812.5,1,0
1418,4,3,136633.75,0,0
1419,3,9,27609231.0,2,-1
1420,63,1,191880.0,0,-1
1421,6,10,1735275.0,1,0
1422,12,3,570500.0,0,0
1423,6,8,359503.345,1,0
1424,21,4,1910780.0,0,0
1425,36,3,850000.0,0,-1
1426,11,6,2700075.0,1,0
1427,3,6,1776500.0,1,0
1428,27,2,4224.0,0,0
1429,48,2,3660000.0,0,-1
1430,3,4,943642.75,1,0
1431,10,4,283870.5,0,0
1432,20,1,15375.0,0,0
1433,6,5,73659.2425,1,0
1434,10,12,618961.25,1,-1
1435,1,5,63040.5,1,0
1436,15,4,98526.0,0,0
1437,6,4,7091250.0,0,0
1438,5,3,385100.0,0,0
1439,5,8,1035244.0,1,0
1440,5,8,357806.8825,1,0
1441,5,5,1318330.0,1,0
1442,6,9,42603440.0,2,-1
1443,1,6,43175.0,1,0
1444,6,9,19345790.0,2,-1
1445,2,13,4823873.5,1,-1
1446,7,5,4940965.0,1,0
1447,7,4,18523.75,0,0
1448,5,4,34305.0,0,0
1449,7,9,1161565.5,1,0
1450,6,4,1233296.7092260001,0,0
1451,27,3,102735.0,0,0
1452,6,5,81436.5,1,0
1453,21,5,550630.0,0,0
1454,3,8,2102557.0,1,0
1455,4,6,5216147.5,1,0
1456,11,4,315427.0,0,0
1457,11,5,176840.0,0,0
1458,1,12,6302214.75,1,-1
1459,1,8,3681598.0,1,0
1460,5,9,917630.75,1,0
1461,4,6,27758595.5,2,-1
1462,5,5,257165.0,1,0
1463,2,5,292398.0,1,0
1464,14,2,20030.0,0,0
1465,11,6,212610.0,1,0
1466,1,4,4828270.0,1,-1
1467,21,2,117545.0,0,0
1468,7,7,239990.25,1,0
1469,5,4,145135.0,0,0
1470,7,9,5377056.0,1,0
1471,4,6,237340.0,1,0
1472,5,8,1717610.0,1,0
1473,7,7,352345.0,1,0
1474,2,5,51940.0,1,0
1475,2,10,747235.4,1,0
1476,3,9,5237135.0,1,0
1477,6,9,2760103.173,1,0
1478,33,1,59965.0,0,0
1479,8,1,28595.0,0,0
1480,7,7,5013090.0,1,0
1481,18,7,6522235.43,1,-1
1482,22,3,1107300.0,0,0
1483,4,4,58162.75,0,0
1484,3,11,1061387.0,1,0
1485,21,3,1903632.0,0,0
1486,8,2,27950.0,0,0
1487,8,2,414100.0,0,0
1488,6,5,42491.62125,1,0
1489,4,6,4649385.0,1,0
1490,7,6,497338.0,1,0
1491,1,6,10318800.0,1,-1
1492,4,7,20267432.5,2,-1
1493,7,5,657348.0,1,0
1494,22,6,2872000.0,0,0
1495,11,5,202600.0,0,0
1496,5,12,400007.0,1,0
1497,27,7,1568844.0,0,-1
1498,4,3,65989.07019,0,0
1499,6,9,2147955.5,1,0
